text,sentiment
 Yes That's true but they are a bit pricey I will look into it further. Love you guys.,positive
 not best pleased with service so far. On our third gate and still no guarantee that it's the correct one :(,negative
 - cluster continues-still on connecting instead of direct..bag charged and seats not together. #shafted,negative
    I'm Lady Gaga!!! She is amazing! 😊,positive
 are you my friend?!,neutral
 I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile ,negative
 on a happy note our 719 crew is wonderful. Can't say enough great things about our pilot. He's doing all he can for us.,positive
 I love you guys! Had to take a few other airlines this week...makes me love and appreciate y'all so much more! #onlywaytofly,positive
 what is the damn delay????,negative
" I like Marie Harf go to Iraiq find ISIS and spread good, and offer resume service to ISIS in order to find jobs ",neutral
", I've tried no less than 8 times today to get in touch with your service desk beginning at 8:30 EST.  I'm having no luck -help!",negative
 Flight AAL65 declared state of emergency? Squawking 7700...,negative
  well deserved!,positive
 Is my friends flight 386 from JAX to DFW Cancelled Flighted?,neutral
 when do we get our baggages?  699 LA to RDU ,negative
 stop Cancelled Flighting my flight I have US history tests to take and chemistry things to learn do you not understand!!!!!!!!!,negative
 sad to learn you no longer fly SFO &gt; PHL. Hope it returns!,negative
" Cancelled Flights your flight then sends you an email saying ""think about your next flight..."" #customer #outrage ",negative
 did you know that suicide is the second leading cause of death among teens 10-24,neutral
Can You please help to save my daughters life  for details Go here ,neutral
" Marcus helped me - good agent, couldn't fix it. Flight was listed on website, but ""unavailable""to book. False advertising much?",negative
 how do I redeem a travel voucher for a flight if I can't reach a travel agent by phone? My hold expires in 24 hours,negative
" OH MY GOSH SERIOUSLY?! you just made my day, week, year!!! No one will appreciate this more than me!!!",positive
" y airline I fly with, but haven't seen anything like this yet!",negative
 what is happening with flight 1701 from BOS to PHL? Daughter and her fiancée are stuck in BOS!,negative
 On hold for &gt;70 mins on my 3rd attempt just to get a receipt showing change fees for an upcoming flight. Please help!,negative
" I have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
",negative
 Pay for a cab back to the airport to show baggage dept. my wet shirts and suit is not a viable option. 2nd time this has happened!!,negative
 your website is seriously horrible and so is your  call center!! Almost makes it tempting to fly someone else!! #sodone,negative
At the airport ready to get this  red eye going.... Soooooo sleepy.  #NoPlaceLikeHome #eventhoughits2degreesathome,neutral
" Disappointing lack of kindness toward this person. The agent asked her counterparts ""why this person was talking to her"".",negative
" your social media team just said ""sorry"". Thankfully submitting a complaint got resolution from an amazing rep who called.",positive
", 1st a reaccommodation, now a delayed flight for this one.  &amp; the Gate Agent still hasn't mumbled a word. Folks getting anxious.",negative
" - watched the entire #UNCvsDUKE game on the Tarmac before Cancelled Flighting my flight because crew timed out, right before my 4hr flight....",negative
 Finally starting to come out. 40 minutes and no communication is not acceptable. Letting me down today.,negative
 thank you will do!! You guy are awesome!,positive
 I've witnessed a manager named Denise yell at 2 different customers with my same issue. #rude,negative
 welcome anyone who works in those conditions deserves a thank you even though I am other side of #Atlantic lol xx,positive
" what do you think missing meetings is worth?  A flight voucher?  I fly all the time, so what would make it right?",negative
 this has been the worst trip with little to no customer service,negative
 well mine sure aren't anything to write home about!,neutral
 The Magic eight ball has never steered me wrong  :),positive
 Now going on 26 minutes on hold.,negative
 especially if it's your mom! #IChangedYourDiaper,neutral
 I can't find a good photo of it... You got one? #goodnight,neutral
 I left an item on plane BOS-PHL on Friday.  I've called PHL US Airways # &amp; left 6 msgs. No return call what to do at this point.,negative
 Step 1: Cancelled Flight flight. Step 2: Don't notify customer. Step 3: Charge them for food while they try to survive their wait. Brilliant.,negative
" He needs to get to home the 24th, they're telling him it'll be the 25th @ night. Is there compensation or anything that can be done?",negative
" I understand that, but I'm not even being put on hold - it says ""try again Late Flightr, goodbye"".",negative
 #DestinationDragons Any word on winners of contest? Any chance for tix for the Provo DestinationDragons show? Fingers Crossed!,neutral
 Had to explain to a very over eager flight attendant trying to ask about my vision that my  was not a guide dog!,negative
 : Premier provider of missed connections! #usairwaysfail,negative
. I did but the more eyes I have looking for Pandu the better chance I have of bringing him home.,negative
" Sorry to bother you, but I've been on hold for more than 2 hours and 30 minutes. Should I continue holding? Or call back?",negative
 we're still here guys - you are the worst,negative
  your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,negative
 look what I capture at Uvf ,neutral
 yes called your UK number on skype…well worth the $.50.  i recommend others do the same.,positive
 why couldn't you have changed the tire of my delayed UA1127 flight when it arrived instead of waiting until boarding?,negative
  after 38 minutes on the phone I'm given another number to call now still on hold with them. ,negative
 also checked email you have on file for me and it is correct,neutral
 2 days in a row I call and still can't get anyone on the phone. Do you actually have any employees?,negative
 I have been trying to get through to a representative for 7 hours aboout my Cancelled Flightled flight. Have you simply given up?,negative
 thank you so much for asking us to pay $700 to switch to a different flight so I could spend more time with my dying nephew.,negative
 you're lucky we're still flying you after today's landing gear failure. Get your act together and help us sit with our kids!,negative
 online flight notification is down.,neutral
 service getting worse and worse. Plane can't fly waiting on a 2nd aircraft. So much for planning.,negative
 I made a reservation online but I didn't receive any confirmation email. My bank said the transaction went through. Can u help?,negative
" haha...yeah i did, just making a joke",neutral
 how about fixing the wifi!  3rd flight where it's not working. 800 series plane so not like it's an old plane.,negative
 UA1023 sitting on Tarmac at ORD when there are visibly gates open. Reassign our gate.,negative
 lounge @ #Heathrow Used by  ,neutral
" ah no the staff was perfect this morning at JFK, more sleep for me!! :)",positive
" you're right, I do. I've been traveling all day and you guys dropped the ball. Making for a long night.",negative
 Never had a flight delayed an hour due to an unbalanced load. And more delays at . Great job idiots.,negative
 you see now that is a lie.  They auto respond with insulting email. #sucks,negative
 Some of my 4 kids are anxious. Husband and I can't sit with all 4 with current setup. No warning that our 6 seats changed.,negative
 hi! Is it possible to upgrade to a Mint seat on an already booked ticket? Thanks!,neutral
" Yes, though they have not located the bag yet. It was a lovely flight outside of that.",negative
“: Book out of town with fares from $59/way (+restr).   ,neutral
 don't worry. Used own initiative and arriving much earlier than you planned for me,negative
" that's gotta be a new record: 4 hrs in the air, 11 hrs waiting and 0 bags delivered to destination.",negative
" flight 623 den to phx: flight attdt decides to stay downtown and be an hour Late Flight so entire flight delayed, she better get fired!",negative
 hey! think someone could meet me with my book when I arrive at  at 10:30? It's yes please #amypoehler. Oscar took it.,neutral
" Darn it, first in line for no upgrade! Wish I understood the policy. :) ",neutral
 ill call in the morning. too upset right now.,negative
" have to be honest, didn't expect a fast response, thank you!  Off to #Chiberia we go!",positive
 I love how just to give feedback to this link I have to fill out all my personal info on a form.  You guys are the best :),negative
 I must stop my relationship with you. You've become greedy and heartless and our long term relationship is over,negative
" no need, I know the status, you Cancelled Flightled instead of delaying the flight.",negative
 Leave BUR ten minutes Late Flight and arrive in SJC a minute before we were supposed to... Impressed! #gettingbetter 👍,positive
 follow me back so I can DM you guys,neutral
 us air should be ashamed of this service - on hold for hours? No help from any representative just to reschedule due to weather ?,negative
 got it.  Next time I will know about paying extra to make the A Line.,neutral
" &amp; also that I was told no comps, upgrades, etc. ReFlight Booking Problems is good enough. #usairwaysfail",negative
 don't worry you won't steal my money again,negative
  can you give me a # for US Air in philly to talk to a real person? Acarl4.com,negative
" CEO battles to appease passengers, investors - Toledo Blade ",neutral
" travel week, delays, Cancelled Flightlations, ""if you want to learn more about the merger press 1"", delay my connector in Chicago #deice",neutral
" Why can we no longer change trips with a companion online? Been doing it for years, now get message can't be done online?",negative
 sitting on a plane in Philadelphia for over 20 minutes waiting just to get off the plane. Great service!,positive
 found the flight on ,neutral
 i do not want to stay overnight at this airport! I have been here since 11 am this morning!,negative
 UR employee named VAN @ ticket counter in #Philadelphia. EXTREMELY RUDE! a Father trying to get home to sick kid missed flight.,negative
 thank you for quick responses.   #aa usually has fantastic customer service. That's why I was so shocked when it wasn't there,positive
 Resolved. Over hour of work on  ground &amp; somehow the system reset itself during takeoff. I appreciate the quick response/service.,positive
 it is my fault but i bought online and i get twice why i buy twice it fault but i bougth ticket jfk to mccaren and usairways ++,negative
 and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,positive
" Yes &amp; have already spent 1K+ on the card &amp; paid the $89 annual fee, but the 50K miles have not shown up. Want to fly AUS --&gt; ATL",negative
 that would have been nice earlier  today. Too Late Flight now. I hope.,negative
 they finally answered. They were rude and didn't help me at all.,negative
" I didn't want to Cancelled Flight, I wanted to take someone off and keep my price. Held at 402, at 10am today 440, now 530",negative
 flight delayed 3 times today due to flight officer. 4333 from pit to ord. 5 hour delay to date. #bademployeeproblem?,negative
 I know that. Thanks for the standard reply.,negative
 that's why u guys are my #1 choice.,positive
 the man sitting next 2 me at the terminal has a scent tht i cant quite put my finger on. pls dnt let him sit by me on the flight.,neutral
 finally at final destination but not w/o extra significant travel expenses &amp; missed work. How can you resolve this experience?,negative
 Club in Denver is dope 👌,positive
" just promoting the product is all, had a problem with southwest and recommend noneother than the best! ",positive
 ok...i know doors close ~10 minutes before takeoff. stop telling me my flight will leave in 20 minutes when we haven't boarded.,negative
 thank you kindly.,positive
 why am I still in Baltimore?!  is doing laps around us and laughing about it. # ridiculous,negative
" 
This is how vacations get Cancelled Flightled been on hold ⤵for 40+ minutes still havent talked to anyone. #failure ",negative
  how does one downgrade a flight?,neutral
 if I am enrolled in the ATL companion pass offer and booked 3 flights already before May 17 when can I start using the pass?,neutral
 Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,negative
 submitted customer care form Jan 7th. Still no response. A little longer then 7 - 10 business days,negative
" I can tell you. Your airline has lost mine and my families business. 
This day and age message through Twitter travels fast.",negative
 I have a voucher w swa that expires 4/10. An extension would be a lot of luv,negative
 I sent an email describing my experience. Looking forward to a follow up to hopefully make it right.,neutral
 an over booked flight to start with and a red eye from lax to bos with no reclining seat.... #lastflightwithyouever,negative
 See photo of 787 model &amp; our PN 320008A wheel deflator specified in Chapter 32 of B787 AMM. ,neutral
" Well, It's LA and then a 2hr+ car ride to a dark Palm Springs technically. Maybe I'll get bumped to 1st class Den to PHL on Friday:)",neutral
 thank you for 7 hrs at terminal D in Dulles airport ,negative
 Your ERI-ORD express connections are hugely popular .. now if only we could have an ERI-EWR hop! :),negative
 kind of unnerving to watch the guy deicing your plane text on his phone the whole time ,negative
" no after 75 mins of hold, I finally hung up! Ridiculous wait times. Can you assist in Cancelled Flighting reservation?",negative
 … Been trying to book a whole new flight since 2 hours!! what is wrong with your website?,negative
 1917. Still sitting here. Feels badly handled.,negative
" nothing to do with Mother Nature, more like poor commutation.",negative
 the passengers waited inside the flight on the runway and returned back in o gate that should not count as a valid journey,negative
 I'm flying into DCA my bag is at IAD.  I am already Late Flight for my meetings at work.  I will call the number when I land 😭,negative
", it would be nice if the app would actually inform you that a flight is delayed.",negative
"Thanks! Hope I don't look like a complainer, I've written of good experiences w/you in the past and am making do in terminal 5 :) ",positive
" ur specialist said they would talk to the stewardess about not serving drunks drinks, REALLY how does that help",negative
" And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",negative
 I was on hold for over 2 hours and my call got disconnected. Thanks a lot.,negative
" - yep , they've been good.  Now can you make that 1535 flight to mci wait just a tick....😃",positive
" is JFK still closed? Tryna get out of Ft Lauderdale on flight 502, just want to get home to nyc!",negative
" you need to check information regarding hotels, shuttles, re routing flights, delayed flights",neutral
 . delay and mechanical issues on both my weekend flights. Ridiculous. Will tweet as long as we are delayed,negative
 you're the best,positive
. Thanks. Hopefully this is easily resolved.,positive
" #fail when the inbound flight arrives after the scheduled outbound departure, and still ""on time"" ",negative
 I was told by customer service that only customer relations can extend the expiration date of my unused travel funds.,negative
" hi JP, with the help of an awesome TSA representative, I was able to get it all taken care of. Thank you!",positive
 YES please....How do we get that companion pass?,positive
 yes. They are working on it. Hoping bag is on the next flight and will deliver home...,negative
" Now submitted for the third time, please check and confirm receipt. Have taken screen shots in case it disappears again. Thanks",negative
 Your chat support is not working on your site: ,negative
 has the best pilots ever Thank you guys for the great trip #thatisall,positive
 another fiasco at National. Forever from jet to gate on 8:05am flight from RDU,negative
 bumping people off a flight ten minutes before takeoff because the flight is overbooked #fail,negative
 I would like to send an email to Lost and Found at JetBlue JFK; I spoke to them this morning but cannot drive their today.,negative
 just 1 last thing. U guys shouldn't be charging $ for drinks on a transatlantic flight,negative
 understood and I am sympathetic. How do I get my $100 back? I shouldn't have to pay especially if YOU switched my flight.,negative
 got call saying flight Cancelled Flightled but checked online and it isn't Cancelled Flightled. No where near bad weather. I have job interview,negative
  Not blaming Jet Blue.  This wasn't weather. Can't have planes in the air and runways a mess. That's a disaster waiting to happen.,neutral
 I just sent to you.,neutral
 woulda been nice of you to let us know that or post it!!! Your boards still show the flight on time!!!,negative
 I lost my luggage. My birthday wish is to find my luggage.,negative
 is hiring for their Emerging Leader Development Program- Last day to apply is TODAY! Apply here: ,neutral
  over 15 minutes without talking to a human at what point would you recommend I call  ,negative
 thank you for the information.,positive
" Great, then tell me how you will fix it?     #media #filmcrew #photography #cameragear",negative
 how do I find travel funds I have available to use f/ past changed flights? don't see an option in my account.,neutral
"  90 min delay thanks to ""maintenance issues"". Thanks for wasting a day.",negative
  Finally.,neutral
 Cancelled Flightled all flights Fort Lauderdale to Philly. USAir flights got to Philly with no problem. WTF is wrong with SW ,negative
 thank you!! Miss you all so so much!! Is this the link to the blog? Or has that changed?,positive
 Rude grouchy agent at Dulles check-in just got my 19 hour trip off to a lousy start. He needs a nap or something.,negative
 When will direct flights from Belfast Intl to Newark resume from their winter break? Thanks.,neutral
 I will never fly  again,negative
 spoke to someone on your feedback line last night who said she would get me a preferred choice seat for today...,negative
 should have been able to get seat assign without paying $174 more - cust sec should have done that for me,negative
 C'mon now. My flight's delayed annnnnd you can't give me a pick?!? I'm about to tweet at  or  .......,negative
" ""Thank you for contacting American. The email address you have written to is an unmonitored account”",neutral
 I understand but everyone said different things and there was a flight out Late Flightr that night but only one of us got to take it,negative
. Not what's been shared by the pilot with passengers!,negative
" lack of communication with other offices, the customer, &amp; yall never update ur systems. U guys are 2 established 4 this mess",negative
" it would be awfully nice if you could send an alert when my flight is Cancelled Flighted. No text, no email, no love...",negative
 got it taken care of! thank you &lt;3,positive
 why is your website downnnnn :( ugh,negative
" if you don't like delayed bags, why do you let it happen so much?",negative
 is rude a hiring requirement at key west airport shaking my head,negative
 Landed at MCO before 9am and still don't have my bag. You were supposed to give it to Disney's Magical Express this AM.I am livid!,negative
 the one at 11:30am? My app still shows it as on time!,negative
 hire smarter IT people if your systems keep crashing instead of some of the mooks you man some of these airports with. #goDelta,negative
" Extend rtn flight to bereavement, 22nd I could have change fee dropped, now told no.Worse day of my life #badcustomerservice",negative
 Do you have a further update on the suitcase today please.,negative
 I can't get through to a customer rep to help me out. This is the only option I have got.,negative
 IS THIS RINGLING BROTHERS BARNUM AND BAILEY???  SHOULD I KEEP MY EYES PEELED FOR THE CLOWN CAR???,negative
" Yep, except this delay was due to a hasty and unwise decision to pushback other plane before the plows were done. #fail.",negative
 question all.  When will I receive my yearly bonus point accumulation? I think it's around now but not sure.  Thanks! :),neutral
 Hello. Just wondering how long it might take for Turkish Airlines flights to show up in my United miles. Thanks.,neutral
"“: Our fleet's on fleek. 

Can't fly you anymore, we had a good run ✌️",negative
 never fails to have delayed flights 😡,negative
 Flight 1547 CMH to ORD just arrived at gate. Next segment to YVR already boarding. Will they hold it?,neutral
 it is absolutely unacceptable.  I have been calling all day and am hung up on every time. I just need a 5 minute bit of help!,negative
 where is mines?,neutral
 thanks JB!! This is why I 💙 you!,positive
 yes. Thank you. Oct 25-oct 31,positive
 it was delivered! Thank you for making sure it arrived at my doorstep!,positive
 Can't get thru by phone to use a credit that's about to expire! #frustrated #aa.com,negative
 I was on UA1069 today and left my sunglasses in seat 26F. Please help me get them back! #UnitedAirlines,neutral
 Thanks! I'll fill up the form as soon as I land. I don't like being duped so I hope you will appreciate my feedback &amp; will be better,negative
 BIG Love/gratitude.mpower w/  weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood ,neutral
 45 min hold time then a hang up by Manager Mike in dividend miles dept. tough to justify sticking with the Us air CC and status.,negative
😂😂😂 “: Our fleet's on fleek. ,neutral
 interested in possibly changing my flight to another day...need to see if there are any fees but your number is busy,negative
 Jackpot!  #legroom ,positive
 you are horrendous.  Pull your shit together,negative
 I lost a voucher that I was given in Miami aeroport on jan 26. I did not use it.,neutral
 3 hours and 80 degree difference. Yes please!!  MHT TO MCO  ,positive
 Yes and without my bags. 2 first class tickets to Tahiti would be nice. Just saying,negative
 I called twice the recording says that it has being delivered to my apt but it is not here ?,negative
 I'm pulling my hair out trying to book a flight with u. Your site doesn't work on iPhone or iPad.don't have a computer #help,negative
 owes Tammy from the Winston-Salem call center for keeping me as a customer!,positive
" remember in business, a pleasant experience, means you will tell a friend. A bad experience means you will tell everyone you see",negative
 Any chance you are allowing reFlight Booking Problems yet for travel out of Denver this weekend due to impending storm?,neutral
 sent you my confirmation via DM. Thank you very much,positive
 Flying now from JAX to DEN and I paid $8 for wifi that barely is functional.  Couldn't do work if I wanted to.  Never again.,negative
" SF crew lack a lot of customer service, LAX employees are a lot better. Wonder why...",negative
 flights from sunny SFO delayed for hours and others Cancelled Flightled left and right with little updates. Any help ?,negative
 do bags still fly for free anymore?,neutral
 you can't change my flights and not have enough operators to handle calls.... #unacceptable #AmericanAirlines,negative
" question, friend flight got Cancelled Flightled. How can he book be flight? Leaving CHS to Philly to Germany",neutral
" Now arriving a day and a half Late Flightr than supposed to. Lesson of the day, don't believe verbal or written confirmations from United",negative
 nope not yet...,negative
 what is wrong with you guys and your inability to get planes in and out of Philly on time. Our pilot gave us a answer that was bs,negative
 I've been waiting for the callback for EIGHT HOURS. HOW MUCH LONGER?!,negative
 you have let me down. Seriously. #unhappycustomer,negative
 - thanks for the rude customer service and 3 hour delay. It really helped me timing wise for my afternoon meetings. Hello  !,negative
 who do I need to contact regrading a complaint and to get a voucher funds for future travel on United?,neutral
 do you have hand sanitizer in the bathrooms on your flights?,neutral
 who authors this fiction? I just heard on radio we don't even have a jetway secured yet #UA5037 #CMH ,negative
 I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,negative
" Late Flight to Denver, Late Flight to Newark...let's not even get into the disaster that was checking bags. Unacceptable.",negative
 and what am I suppose to do with that number?,neutral
  what about upgrades?,neutral
 Vegas desk said JFK connect would b held 4 us and 26 others on our plane now staff at JFK says weather was problem. #epicfail,negative
" I understand that, and when I'm attempting to change the information so they are identical, it tells me to call a #",neutral
 as a freq flyer it makes me sad to see cust needing assistance treated so poorly. #ServiceFail,negative
 maybe you should stop tweeting and start calling. Or make it available for people to wait on-hold instead of hanging up on us.,negative
" stranded at BWI after two diversions. No cust service, no transport. Dumped here. Terrible customer service!",negative
 Thank you.  Twitter says I can't DM someone unless they follow me.  Can  follows my twitter?,negative
 service for baggage at JFK is incomprehensible. No employee knows where our luggage is frM flight 424 LAX to NYC ITS AN HR WAIT NOW,negative
 thanks for telling me my flight was on time when the plane was broken. You're an inferior airline.,negative
 Thanks again for ruiningmy vacation.  You all are the best for this.  Could not have done it without you.,negative
" flight attendant Wendi on Flt 127 on 2/17, Newark to Orlando.  👍👍",positive
  Another glitch??,negative
  that can be a stop over before Paris. You are an embarrassment,negative
 #CustomerService #fail long time flyer switching airlines #frustrated,negative
" went to front restroom on plane, on sink sign that said no water, use hand sanitizer. First time I've ever seen that. GROSS!",negative
 Really a letter that says you will discuss serving drunks more drinks that doesn't help the current situation,negative
 my 2498 to CLT left the gate. What is next for CLT. Need help,neutral
", I booked our flights w/ . I saw the same prices each time I searched. It wasn't the least bit frustrating. #customerservice",negative
 I just wanna say you're incredible for sending people to see their idols. Sooooo kind and amazing💖 #DestinationDragons,positive
 50 min on hold trying to book award flight because site errors out.  Agents ask for my pin to see platinum availability??? badbadbad,negative
 also your employees were LESS then helpful when  was checking his bag. Two just left their desks completely (1/2),negative
 my boss is :),positive
" yes, today. Flight is full now. They said no to me at gate :(",negative
 sitting on UAL 683 - a comedy of errors.  UAL is incompetent,negative
" $192 rndtrp 4/30-5/5 "": RT : If you're trying to make travel reservations for Vegas on May 2nd it's too Late Flight""",neutral
" has failed me all day long, should I blame it on  ?",negative
 next up: enforcing your boarding procedure.,negative
 exactly it states a secure document is a nexus card. It does not state a passport must always be also presented. Read it,negative
 I need HELP!  I'm trying to Cancelled Flight a flight before it takes off but I can't get a hold of ANYONE because all lines are busy.,negative
 my flight is Cancelled Flightled and we can only call in but you aren't accepting calls? How do I reschedule my flight?,negative
" Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",positive
 big problem!!! Fll to clt then got off on clt but my fly to gso is Cancelled Flightled had to rent a car to get to my pops funeral,negative
 why does it feel like I'm being nickeled and dime to enjoy a flight with AA? I purchased a tkt but have to pay extra for a seat,negative
 enormous lines at customer service and two agents what kind of service is that .. ,negative
 weather where?  It's 60 in SFO and flight 834 is still on time to boston.,neutral
 stop ur bs promos of ✈️anywhere starting at 79$ I click and everywhere I'd fly=130$ The only place thats 79$ is CLE #NoThanks,negative
  of course this morning I see a non-stop from IAH to SFO but that was not available yesterday. #UnitedHatesUsAll,negative
Power Moves RT : Our fleet's on fleek. ,positive
 thank you. Appreciate that!!,positive
 does asap mean two hours worth of delay and a return to the terminal to count the luggage a third time? #gottogetbetter,negative
 thank you! Headed from LBC to OAK !,neutral
 much respect!,positive
 boarding the back of the airplane first. Like a boss. #sosmart #jetblue #frequentflyerappreciates #alsoyayforsnacks,positive
" No. SATO rebooked me. Just upset that my travel office had to fix this, and you couldn't.",negative
 953 our  fligth Somthing to talk  about this?,negative
" that link leads to a website that won't open on a cell phone.  Good job, shocking that your airline is folding.",negative
" 4 hour delay in ATL due to ""air traffic control""....love missing an entire day of my vacation #unhappycustomer #mytimeismoney",negative
" got it, so it's just paying extra not to sit in the way back. Awesome. Never again.",negative
 system failure again = bad trend.  Software projects are like flying an airplane; there's no such thing as an emergency takeoff.,negative
 ua1673 still waiting! Supposed to depart 9:08,negative
 How do I place it on hold and complete payment? I don't see any way to do that from my reservations page.,negative
 the USA help line.  i accidentally booked a flight on a thursday instead of a wednesday and want to switch,neutral
 #1691 out of JFK. no one has info &amp; no answers as to why we boarded the plane. the team is in an awkward spot &amp; everyone is cranky,negative
" Priorities should have been made. Considering a pending snow storm, why delay a flight for an hour &amp; a half? I'd like an answer.",negative
 Yes ! :D (Y) From  on Instagram :),positive
"Can I put sun in my carry on? RT “:  Right now 0 would be a heat wave, so enjoy the warmth! Can you bring some home? ^JJ”",neutral
"2/2  You don't really care about our comfort, you care about profitability. That's fine, just own up to it. #unfriendlyskies",negative
 thanks I think we've got it figured out,positive
 will you be making BOS&gt;LAS non stop permanently anytime soon?,neutral
 Total BS.have 1st class seats for connecting flight. Your crew Late Flight. We miss connection. Had next plane. Yet u don't honor it??,negative
" instead of making  seats smaller/thinner so u can jam more people on a flight,u should concentrate on maint &amp; happy customers",negative
 you delay all my flights. Then you redirect my gate. Then you tell me had we stuck with the original gate we would have 1/3,negative
 Premier Gold desk changes flight. Waives fees. Gives me wrong flight. Now Jana Acosta in Salt Lake refuses the same service. Angry.,negative
 Cancelled Flightled my flight then put me on a flight the next day.I need help from somebody other than a robot. PLEASE!!! Much appreciated,negative
 customer service is rude and bothered by our calls. Has no idea what is going on and sighed heavily on the phone. Unbelievable,negative
 so I don't know confirmation number or the names of the flight attendants and supervisor,neutral
" ah, that would explain why crew didn't seem particularly distressed when we pointed it out. It was a little startling at first.",neutral
 any chance of adding LAX-&gt;JFK direct any time in the future?,neutral
 S/O to  for coming in clutch and finally taking me home 🙌🙌,neutral
 flight Cancelled Flightled and was trying to reschedule but 800 number just says to call back,negative
" I just did, how can I DM? Do u have to also add me?",neutral
 iCloud it is not there yet -- PLEASE HELP 917 703 1472,negative
 Make the world a better place: Visit an elderly relative.,positive
" I'm not this person, but I've been sitting in Denver for three hours and all I want to do is get on a plane. Please let me go home.",negative
" new slogan should be ""if you don't want to arrive on time, pick us""",negative
" Hi! Winter Wx Advisory issued for STL. Snow &amp; Ice &amp; Cold, oh my! Will you issue a travel advisory for that?",neutral
 hey folks where do you hide luggage when you Cancelled Flight a flight! You have 100 very angry people with no luggage,negative
 Counting on your flight 989 to get to DC!,positive
 JUST LANDED flight 545. Any chance of making flight 5530 Phoenix to AUS,neutral
 - i needed refund on my Cancelled Flightled flights this morning and had been on hold for more than an hour X 3. what to do?,negative
 Delaney and Shawn at DFW showed exceptional customer service today. Will happily choose AA whenever possible now! Thank you!,positive
 any chance they will change this to include Northeast airports?  JetBlue has.,neutral
 will lose my bag but won't give me free pretzels #frauds,negative
 over 2 hours and 14 minutes on hold and counting. Thanks for the help! #customerservice #brutal ,negative
" like kelsey said, really bad spot for locals. Do you know how long it takes to find parking then walking over to the bellagio?",negative
 happy to spend the day together. Let's do this!,positive
 I was on hold for two hours and finally hung up. I was able to do what I needed to without customer service eventually.,negative
 that's not even an apology,negative
 want to explain why I was on hold for 2+ hrs tonight trying to reach customer service only to learn they're only there Mon-Fr?,negative
 I need a flight out tonight. Isn't there anything else?,negative
 told to work it out ourselves #joke #fail,negative
". glad you appreciate it, it’ll be the last dollar you ever get from me thanks to your wretched customer service",negative
 never flying you guys again. your customer service is awful,negative
" it's not disappointment, it's a blatant disregard for your business select customers, it's becoming a problem that's pushing",negative
" - thanks for your help...got me what I need, but its an issue with  . I guess I sit awhile longer.",positive
 and thanks!,positive
 my friends from Boston stuck in Denver. Her name Jane.   Please contact her.,negative
 Global First Class Lounge ORD menu. Yummy! ,positive
"  needs two nights at a hotel in phoenix until he can get back to Philly because of plane equipment, crazy!",negative
 screwing me over twice in one month. Learned my lesson. We are through.,negative
 This is exactly why ill be flying AA from  to Dallas! Only airline I trust!,positive
 can you tell me why you Cancelled Flightled the flight vs delay,negative
 how are conditions in BOS today? I'm in UA994. Everything appears to be in time but I wanted to check.,neutral
 now on hold for 2 hrs 20 min. This is ridiculous,negative
" said that AA does not provide in-flight wifi on the routes to China based on some federal laws, but United does, why is that?",negative
" Please don't trivialize me.  This is a joke, not a slow day or slow experience",negative
 THRILLED to have my carry-on checked against my will by two nasty gate agents only to see an entire empty bin when I boarded last...,negative
" aha, ok. Thanks! Was worried there might not be a seat at all :) Will do it at the airport tomorrow then!",positive
": u didn't bother following up, we booked with .   understands cust srv: provided lunch 4 delays &amp; upgraded seats!",negative
 I'm sorry for straying and going with  I've learned my lesson. These attendants need some SW happiness!,negative
 Any plans to make the southwest app for Android not crappy?,negative
 #fail My wife on the phone asking to switch flight times. In mid switch gets disconnected. Now Cancelled Flightled! No new time! No call back,negative
 45+ min at EWR baggage claim #stillnobags #ridiculous,negative
" he waited over two hours on the phone, had to book and get to MI, family member very ill, time of the essence",negative
 surprisingly quick response time by you and them. Thanks!,positive
 didn't work. Fly-fi plus couldn't access ABC app. So I spent $19 and still missed Oscars. #disappointed,negative
 DM Sent.,neutral
" never mind, I moved my flight to tomorrow. Thanks for the help!",positive
 I want to give a warm thanks to your crew at Logan airport for still getting me to the DC area after Cancelled Flightlations this morning!,positive
" I understand the weather issues. I don't understand how I was not notified of the Cancelled Flightlation, and had to realize it so Late Flight.",negative
 prove it,negative
 thank you for always have the most amazing customer service! Bring on The Disney Princess Half Marathon,positive
 #epicfail on #CX as flight from Frankfurt to San Francisco now going to Chicago as flight crew out of hours due to de-icing delay,negative
 frustrating indeed especially when no one knows what the issue is....,negative
 Why did I have to stand at baggage claim for an hour waiting for a bag that you knew never made it on to the plane?,negative
" No, not received any e-mails in either Inbox or junk/spam",neutral
" Been sitting on flight 435 for an hour after landing in Newark. First no gate, then no jetway operator. Seriously!?",negative
RT : Our fleet's on fleek. ,neutral
 The phone line disconnects. How can I be in the queue to be answered when the phone line simply disconnects when I call?,negative
